TIME	OPEN	CLOSE	HIGH	LOW	VOLUME
959720400	0.9302	0.9297	0.9305	0.9297	0.0
959724000	0.9298	0.9296	0.93	0.9296	0.0
959727600	0.9297	0.9305	0.9305	0.9293	0.0
959731200	0.9306	0.932	0.9324	0.9306	0.0
959734800	0.9319	0.9316	0.9323	0.9316	0.0
959738400	0.9315	0.9315	0.9316	0.9311	0.0
959745600	0.9315	0.9317	0.9317	0.9315	0.0
959749200	0.9318	0.9311	0.9322	0.9304	0.0
959752800	0.9306	0.9305	0.9307	0.9282	0.0
959756400	0.931	0.93	0.9314	0.9286	0.0
959760000	0.9302	0.9314	0.9322	0.9302	0.0
959763600	0.9315	0.931	0.935	0.9308	0.0
959767200	0.9313	0.931	0.9315	0.9304	0.0
959770800	0.9309	0.9293	0.9311	0.929	0.0
959774400	0.9294	0.9317	0.9317	0.9294	0.0
959778000	0.9316	0.9324	0.9325	0.9313	0.0
959781600	0.9329	0.9279	0.9338	0.9269	0.0
959785200	0.9284	0.9334	0.9365	0.9284	0.0
959788800	0.9335	0.9355	0.9364	0.9335	0.0
959792400	0.9354	0.9353	0.9366	0.9351	0.0
959796000	0.9355	0.936	0.9368	0.9354	0.0
959799600	0.936	0.9374	0.9377	0.936	0.0
959803200	0.9376	0.9304	0.9379	0.9151	0.0
959806800	0.9379	0.9374	0.9382	0.93	0.0
959810400	0.9373	0.9367	0.9374	0.9362	0.0
959814000	0.9368	0.9371	0.9372	0.9366	0.0
959817600	0.9372	0.9363	0.9375	0.9363	0.0
959821200	0.9361	0.9359	0.9366	0.9356	0.0
959824800	0.9359	0.9365	0.9366	0.9359	0.0
959828400	0.9366	0.9377	0.9377	0.9364	0.0
959832000	0.9376	0.9371	0.9376	0.9366	0.0
959835600	0.937	0.9359	0.9377	0.9358	0.0
959839200	0.9358	0.9362	0.938	0.9358	0.0
959842800	0.9364	0.9358	0.9371	0.9358	0.0
959846400	0.9356	0.9324	0.9356	0.9324	0.0
959850000	0.9325	0.9333	0.9349	0.9325	0.0
959853600	0.9334	0.9329	0.9339	0.9329	0.0
959857200	0.933	0.9331	0.9338	0.9327	0.0
959860800	0.9332	0.9324	0.9336	0.9318	0.0
959864400	0.9326	0.9307	0.9326	0.93	0.0
959868000	0.9306	0.9318	0.9328	0.9305	0.0
959871600	0.9317	0.9312	0.9326	0.9309	0.0
959875200	0.9313	0.9291	0.9321	0.9289	0.0
959878800	0.929	0.932	0.932	0.9287	0.0
959882400	0.9321	0.9328	0.9334	0.9318	0.0
959886000	0.9327	0.9318	0.9327	0.9318	0.0
959889600	0.9316	0.9315	0.9316	0.9311	0.0
959893200	0.9316	0.9321	0.9322	0.9316	0.0
959896800	0.9321	0.9322	0.9322	0.932	0.0
959900400	0.9321	0.9314	0.9321	0.9314	0.0
959904000	0.9316	0.9317	0.9327	0.9316	0.0
959907600	0.9315	0.9307	0.9318	0.9304	0.0
959911200	0.9308	0.9308	0.9312	0.9302	0.0
959914800	0.9309	0.9315	0.9315	0.9308	0.0
959918400	0.9313	0.9313	0.9316	0.9311	0.0
959922000	0.9314	0.9308	0.9319	0.9308	0.0
959925600	0.9318	0.9355	0.9368	0.9318	0.0
959929200	0.9354	0.9349	0.9354	0.9344	0.0
959932800	0.9349	0.9365	0.9373	0.9349	0.0
959936400	0.9362	0.9369	0.9369	0.9359	0.0
959940000	0.9366	0.9348	0.9366	0.9348	0.0
959943600	0.9344	0.9357	0.9364	0.9344	0.0
959947200	0.9359	0.9446	0.9454	0.9339	0.0
959950800	0.9447	0.9478	0.9491	0.9437	0.0
959954400	0.9478	0.9445	0.9498	0.9425	0.0
959958000	0.9446	0.9436	0.9451	0.9429	0.0
959961600	0.9435	0.9434	0.9442	0.9414	0.0
959965200	0.9432	0.9439	0.9443	0.9424	0.0
959968800	0.9432	0.9426	0.9439	0.9423	0.0
959972400	0.9427	0.944	0.944	0.9425	0.0
959976000	0.944	0.944	0.944	0.944	0.0
960159600	0.9461	0.9457	0.9464	0.9457	0.0
960163200	0.9452	0.9448	0.9452	0.944	0.0
960166800	0.9447	0.9448	0.9456	0.9433	0.0
960170400	0.9446	0.9449	0.9451	0.9445	0.0
960174000	0.945	0.9443	0.9451	0.9443	0.0
960177600	0.9444	0.9454	0.946	0.9444	0.0
960181200	0.9453	0.9447	0.9453	0.9445	0.0
960184800	0.9452	0.9445	0.9457	0.943	0.0
960188400	0.944	0.9443	0.9451	0.9436	0.0
960192000	0.9445	0.9448	0.9448	0.9439	0.0
960195600	0.9446	0.9451	0.9451	0.9445	0.0
960199200	0.945	0.9434	0.945	0.9432	0.0
960202800	0.9438	0.9434	0.9442	0.9423	0.0
960206400	0.9435	0.9432	0.9442	0.9426	0.0
960210000	0.9431	0.9432	0.9432	0.9416	0.0
960213600	0.9431	0.9461	0.9461	0.9425	0.0
960217200	0.9459	0.9467	0.949	0.9445	0.0
960220800	0.9466	0.9467	0.9478	0.9456	0.0
960224400	0.9469	0.9481	0.9481	0.9458	0.0
960228000	0.9482	0.9487	0.9488	0.9476	0.0
960231600	0.9486	0.9485	0.949	0.9477	0.0
960235200	0.9487	0.9483	0.949	0.9483	0.0
960238800	0.9481	0.9472	0.9481	0.9472	0.0
960242400	0.9471	0.9467	0.9471	0.9467	0.0
960246000	0.9466	0.946	0.9466	0.946	0.0
960249600	0.9458	0.9462	0.9467	0.9458	0.0
960253200	0.9462	0.9461	0.9465	0.9459	0.0
960256800	0.946	0.9463	0.9463	0.946	0.0
960260400	0.9462	0.9463	0.9464	0.9461	0.0
